week_ended,reflecting_week_end,fips_code,state_name,initial_claims,continued_claims,covered_employment,insured_unemployment_rate,
8/28/2021,8/21/2021,04000US48,Texas,19274,166925,,,8/1/2021
8/21/2021,8/14/2021,04000US48,Texas,20335,179271,,,8/1/2021
8/14/2021,8/7/2021,04000US48,Texas,23375,191169,11848728,1.61,8/1/2021
8/7/2021,7/31/2021,04000US48,Texas,31042,190232,11848728,1.61,8/1/2021
7/31/2021,7/24/2021,04000US48,Texas,30138,210422,11848728,1.78,7/1/2021
7/24/2021,7/17/2021,04000US48,Texas,33883,194094,11848728,1.64,7/1/2021
7/17/2021,7/10/2021,04000US48,Texas,45037,199928,11848728,1.69,7/1/2021
7/10/2021,7/3/2021,04000US48,Texas,34307,157043,11848728,1.33,7/1/2021
7/3/2021,6/26/2021,04000US48,Texas,24216,213690,11994349,1.78,7/1/2021
6/26/2021,6/19/2021,04000US48,Texas,19571,197679,11994349,1.65,6/1/2021
6/19/2021,6/12/2021,04000US48,Texas,23569,195891,11994349,1.63,6/1/2021
6/12/2021,6/5/2021,04000US48,Texas,21755,196601,11994349,1.64,6/1/2021
6/5/2021,5/29/2021,04000US48,Texas,18628,187438,11994349,1.56,6/1/2021
5/29/2021,5/22/2021,04000US48,Texas,21927,206486,11994349,1.72,5/1/2021
5/22/2021,5/15/2021,04000US48,Texas,25041,215765,11994349,1.8,5/1/2021
5/15/2021,5/8/2021,04000US48,Texas,27568,228786,11994349,1.91,5/1/2021
5/8/2021,5/1/2021,04000US48,Texas,31342,252080,11994349,2.1,5/1/2021
5/1/2021,4/24/2021,04000US48,Texas,30225,249368,11994349,2.08,5/1/2021
4/24/2021,4/17/2021,04000US48,Texas,33843,270498,11994349,2.26,4/1/2021
4/17/2021,4/10/2021,04000US48,Texas,46516,283654,11994349,2.36,4/1/2021
4/10/2021,4/3/2021,04000US48,Texas,66552,277388,11994349,2.31,4/1/2021
4/3/2021,3/27/2021,04000US48,Texas,83988,299526,12180973,2.46,4/1/2021
3/27/2021,3/20/2021,04000US48,Texas,87313,320564,12180973,2.63,3/1/2021
3/20/2021,3/13/2021,04000US48,Texas,81457,296868,12180973,2.44,3/1/2021
3/13/2021,3/6/2021,04000US48,Texas,73858,359539,12180973,2.95,3/1/2021
3/6/2021,2/27/2021,04000US48,Texas,49366,315582,12180973,2.59,3/1/2021
2/27/2021,2/20/2021,04000US48,Texas,56298,318548,12180973,2.62,2/1/2021
2/20/2021,2/13/2021,04000US48,Texas,36401,326288,12180973,2.68,2/1/2021
2/13/2021,2/6/2021,04000US48,Texas,35786,354852,12180973,2.91,2/1/2021
2/6/2021,1/30/2021,04000US48,Texas,47022,337647,12180973,2.77,2/1/2021
1/30/2021,1/23/2021,04000US48,Texas,52577,341375,12180973,2.8,1/1/2021
1/23/2021,1/16/2021,04000US48,Texas,53848,343257,12180973,2.82,1/1/2021
1/16/2021,1/9/2021,04000US48,Texas,55551,365485,12180973,3,1/1/2021
1/9/2021,1/2/2021,04000US48,Texas,64721,357646,12180973,2.94,1/1/2021
1/2/2021,12/26/2020,04000US48,Texas,45989,363910,12428366,2.93,1/1/2021
12/26/2020,12/19/2020,04000US48,Texas,31448,367766,12428366,2.96,12/1/2020
12/19/2020,12/12/2020,04000US48,Texas,34979,431599,12428366,3.47,12/1/2020
12/12/2020,12/5/2020,04000US48,Texas,38645,388906,12428366,3.13,12/1/2020
12/5/2020,11/28/2020,04000US48,Texas,47521,374452,12428366,3.01,12/1/2020
11/28/2020,11/21/2020,04000US48,Texas,24792,354191,12428366,2.85,11/1/2020
11/21/2020,11/14/2020,04000US48,Texas,38915,460857,12428366,3.71,11/1/2020
11/14/2020,11/7/2020,04000US48,Texas,38883,497520,12428366,4,11/1/2020
11/7/2020,10/31/2020,04000US48,Texas,33667,528651,12428366,4.25,11/1/2020
10/31/2020,10/24/2020,04000US48,Texas,37601,558341,12428366,4.49,10/1/2020
10/24/2020,10/17/2020,04000US48,Texas,35195,607655,12428366,4.89,10/1/2020
10/17/2020,10/10/2020,04000US48,Texas,45308,682194,12428366,5.49,10/1/2020
10/10/2020,10/3/2020,04000US48,Texas,44692,718231,12428366,5.78,10/1/2020
10/3/2020,9/26/2020,04000US48,Texas,42338,803025,12372188,6.49,10/1/2020
9/26/2020,9/19/2020,04000US48,Texas,41351,902269,12372188,7.29,9/1/2020
9/19/2020,9/12/2020,04000US48,Texas,48426,953168,12372188,7.7,9/1/2020
9/12/2020,9/5/2020,04000US48,Texas,49386,976588,12372188,7.89,9/1/2020
9/5/2020,8/29/2020,04000US48,Texas,65291,1043117,12372188,8.43,9/1/2020
8/29/2020,8/22/2020,04000US48,Texas,56673,1017360,12372188,8.22,8/1/2020
8/22/2020,8/15/2020,04000US48,Texas,52152,1091961,12372188,8.83,8/1/2020
8/15/2020,8/8/2020,04000US48,Texas,61400,1101708,12372188,8.9,8/1/2020
8/8/2020,8/1/2020,04000US48,Texas,52304,1221540,12372188,9.87,8/1/2020
8/1/2020,7/25/2020,04000US48,Texas,62709,1228250,12372188,9.93,8/1/2020
7/25/2020,7/18/2020,04000US48,Texas,76804,1338900,12372188,10.82,7/1/2020
7/18/2020,7/11/2020,04000US48,Texas,87908,1247269,12372188,10.08,7/1/2020
7/11/2020,7/4/2020,04000US48,Texas,105516,1313086,12372188,10.61,7/1/2020
7/4/2020,6/27/2020,04000US48,Texas,117099,1237931,12304547,10.06,7/1/2020
6/27/2020,6/20/2020,04000US48,Texas,96593,1301714,12304547,10.58,6/1/2020
6/20/2020,6/13/2020,04000US48,Texas,89547,1221813,12304547,9.93,6/1/2020
6/13/2020,6/6/2020,04000US48,Texas,94723,1297296,12304547,10.54,6/1/2020
6/6/2020,5/30/2020,04000US48,Texas,89676,1215507,12304547,9.88,6/1/2020
5/30/2020,5/23/2020,04000US48,Texas,106677,1401773,12304547,11.39,5/1/2020
5/23/2020,5/16/2020,04000US48,Texas,127717,1272557,12304547,10.34,5/1/2020
